id,address,city,state,state_fips,zipCode,county,county_fips,latitude,longitude,property_type,bedrooms,bathrooms,square_footage,year_built
"44-W-Monroe-St,-Phoenix,-AZ-85003","44 W Monroe St, Phoenix, AZ 85003",Phoenix,AZ,04,85003,Maricopa,013,33.45068,-112.07473,Apartment,1.0,1.5,963.0,2008.0
"6161-W-Mcdowell-Rd,-Phoenix,-AZ-85035","6161 W Mcdowell Rd, Phoenix, AZ 85035",Phoenix,AZ,04,85035,Maricopa,013,33.464997,-112.190858,Apartment,2.0,1.0,838.0,1998.0
"2015-W-Cactus-Rd,-Phoenix,-AZ-85029","2015 W Cactus Rd, Phoenix, AZ 85029",Phoenix,AZ,04,85029,Maricopa,013,33.59551,-112.10255,Apartment,1.0,1.0,700.0,1984.0
"3001-N-32nd-St,-Phoenix,-AZ-85018","3001 N 32nd St, Phoenix, AZ 85018",Phoenix,AZ,04,85018,Maricopa,013,33.48284,-112.01249,Apartment,1.0,1.0,745.0,1970.0
"15425-N-Tatum-Blvd,-Phoenix,-AZ-85032","15425 N Tatum Blvd, Phoenix, AZ 85032",Phoenix,AZ,04,85032,Maricopa,013,33.62664,-111.97612,Apartment,2.0,2.0,1165.0,1985.0
"3851-N-28th-St,-Phoenix,-AZ-85016","3851 N 28th St, Phoenix, AZ 85016",Phoenix,AZ,04,85016,Maricopa,013,33.493504,-112.020142,Apartment,2.0,2.0,1000.0,1973.0
"600-N-4th-St,-Phoenix,-AZ-85004","600 N 4th St, Phoenix, AZ 85004",Phoenix,AZ,04,85004,Maricopa,013,33.455036,-112.069174,Apartment,0.0,1.0,672.0,2009.0
"3633-N-6th-Ave,-Phoenix,-AZ-85013","3633 N 6th Ave, Phoenix, AZ 85013",Phoenix,AZ,04,85013,Maricopa,013,33.49028,-112.08161,Apartment,2.0,2.0,980.0,1960.0
"3411-N-16th-St,-Phoenix,-AZ-85016","3411 N 16th St, Phoenix, AZ 85016",Phoenix,AZ,04,85016,Maricopa,013,33.488175,-112.045382,Apartment,,,,1999.0
"9652-N-31st-Ave,-Phoenix,-AZ-85051","9652 N 31st Ave, Phoenix, AZ 85051",Phoenix,AZ,04,85051,Maricopa,013,33.573837,-112.126943,Apartment,2.0,1.0,835.0,1978.0
"7725-W-Mcdowell-Rd,-Phoenix,-AZ-85035","7725 W Mcdowell Rd, Phoenix, AZ 85035",Phoenix,AZ,04,85035,Maricopa,013,33.46522,-112.22706,Apartment,0.0,1.0,483.0,2009.0
